Date,Grade,Region,Regional_Price,National_Price,Seasonal_Impact,Indonesia_Price_in_USD,Madagascar_Price_in_USD,Tanzania_Price_in_USD,Local_Production_Volume,Local_Export_Volume,Global_Production_Volume,Temperature,Rainfall,Exchange_Rate,Inflation_Rate,Fuel_Price,Market_Sentiment,Year,Month
2020-01-01,Clove,Badulla,858.0,942.22,1,3.9,4.5,4.9,2013.2,156.0,10724.0,25.96,45.68,181.4036,5.7,104.0,Neutral,,
2020-01-01,Clove,Colombo,954.33,942.22,1,3.9,4.5,4.9,2013.2,156.0,10724.0,25.96,45.68,181.4036,5.7,104.0,Neutral,,
2020-01-01,Clove,Galle,893.75,942.22,1,3.9,4.5,4.9,2013.2,156.0,10724.0,25.96,45.68,181.4036,5.7,104.0,Neutral,,
2020-01-01,Clove,Gampaha,935.0,942.22,1,3.9,4.5,4.9,2013.2,156.0,10724.0,25.96,45.68,181.4036,5.7,104.0,Neutral,,
2020-01-01,Stem,Gampaha,70.75,82.35,1,3.9,4.5,4.9,2013.2,156.0,10724.0,25.96,45.68,181.4036,5.7,104.0,Neutral,,
2020-01-01,Clove,Hambantota,945.5,942.22,1,3.9,4.5,4.9,2013.2,156.0,10724.0,25.96,45.68,181.4036,5.7,104.0,Neutral,,
2020-01-01,Clove,Kalutara,927.75,942.22,1,3.9,4.5,4.9,2013.2,156.0,10724.0,25.96,45.68,181.4036,5.7,104.0,Neutral,,
2020-01-01,Clove,Kandy,1019.25,942.22,1,3.9,4.5,4.9,2013.2,156.0,10724.0,25.96,45.68,181.4036,5.7,104.0,Neutral,,
2020-01-01,Stem,Kandy,93.0,82.35,1,3.9,4.5,4.9,2013.2,156.0,10724.0,25.96,45.68,181.4036,5.7,104.0,Neutral,,
2020-01-01,Clove,Kegalle,1020.5,942.22,1,3.9,4.5,4.9,2013.2,156.0,10724.0,25.96,45.68,181.4036,5.7,104.0,Neutral,,
2020-01-01,Stem,Kegalle,89.0,82.35,1,3.9,4.5,4.9,2013.2,156.0,10724.0,25.96,45.68,181.4036,5.7,104.0,Neutral,,
2020-01-01,Clove,Kurunegala,936.75,942.22,1,3.9,4.5,4.9,2013.2,156.0,10724.0,25.96,45.68,181.4036,5.7,104.0,Neutral,,
2020-01-01,Stem,Kurunegala,69.5,82.35,1,3.9,4.5,4.9,2013.2,156.0,10724.0,25.96,45.68,181.4036,5.7,104.0,Neutral,,
2020-01-01,Clove,Matale,1008.25,942.22,1,3.9,4.5,4.9,2013.2,156.0,10724.0,25.96,45.68,181.4036,5.7,104.0,Neutral,,
2020-01-01,Stem,Matale,94.5,82.35,1,3.9,4.5,4.9,2013.2,156.0,10724.0,25.96,45.68,181.4036,5.7,104.0,Neutral,,
2020-01-01,Clove,Matara,964.25,942.22,1,3.9,4.5,4.9,2013.2,156.0,10724.0,25.96,45.68,181.4036,5.7,104.0,Neutral,,
2020-01-01,Stem,Matara,80.0,82.35,1,3.9,4.5,4.9,2013.2,156.0,10724.0,25.96,45.68,181.4036,5.7,104.0,Neutral,,
2020-01-01,Clove,Monaragala,877.0,942.22,1,3.9,4.5,4.9,2013.2,156.0,10724.0,25.96,45.68,181.4036,5.7,104.0,Neutral,,
2020-01-01,Clove,Nuwaraeliya,949.5,942.22,1,3.9,4.5,4.9,2013.2,156.0,10724.0,25.96,45.68,181.4036,5.7,104.0,Neutral,,
2020-01-01,Stem,Nuwaraeliya,79.33,82.35,1,3.9,4.5,4.9,2013.2,156.0,10724.0,25.96,45.68,181.4036,5.7,104.0,Neutral,,
2020-01-01,Clove,Ratnapura,903.0,942.22,1,3.9,4.5,4.9,2013.2,156.0,10724.0,25.96,45.68,181.4036,5.7,104.0,Neutral,,
2020-02-01,Clove,Badulla,907.0,946.73,1,3.85,4.45,4.85,0.0,467.0,12088.0,26.19,23.63,181.5628,6.2,104.0,Neutral,,
2020-02-01,Clove,Colombo,962.5,946.73,1,3.85,4.45,4.85,0.0,467.0,12088.0,26.19,23.63,181.5628,6.2,104.0,Neutral,,
2020-02-01,Clove,Galle,987.5,946.73,1,3.85,4.45,4.85,0.0,467.0,12088.0,26.19,23.63,181.5628,6.2,104.0,Neutral,,
2020-02-01,Clove,Gampaha,962.5,946.73,1,3.85,4.45,4.85,0.0,467.0,12088.0,26.19,23.63,181.5628,6.2,104.0,Neutral,,
2020-02-01,Stem,Gampaha,66.75,82.72,1,3.85,4.45,4.85,0.0,467.0,12088.0,26.19,23.63,181.5628,6.2,104.0,Neutral,,
2020-02-01,Clove,Hambantota,1015.25,946.73,1,3.85,4.45,4.85,0.0,467.0,12088.0,26.19,23.63,181.5628,6.2,104.0,Neutral,,
2020-02-01,Clove,Kalutara,931.75,946.73,1,3.85,4.45,4.85,0.0,467.0,12088.0,26.19,23.63,181.5628,6.2,104.0,Neutral,,
2020-02-01,Clove,Kandy,972.5,946.73,1,3.85,4.45,4.85,0.0,467.0,12088.0,26.19,23.63,181.5628,6.2,104.0,Neutral,,
2020-02-01,Stem,Kandy,96.0,82.72,1,3.85,4.45,4.85,0.0,467.0,12088.0,26.19,23.63,181.5628,6.2,104.0,Neutral,,
2020-02-01,Clove,Kegalle,916.25,946.73,1,3.85,4.45,4.85,0.0,467.0,12088.0,26.19,23.63,181.5628,6.2,104.0,Neutral,,
2020-02-01,Stem,Kegalle,92.0,82.72,1,3.85,4.45,4.85,0.0,467.0,12088.0,26.19,23.63,181.5628,6.2,104.0,Neutral,,
2020-02-01,Clove,Kurunegala,912.5,946.73,1,3.85,4.45,4.85,0.0,467.0,12088.0,26.19,23.63,181.5628,6.2,104.0,Neutral,,
2020-02-01,Stem,Kurunegala,63.5,82.72,1,3.85,4.45,4.85,0.0,467.0,12088.0,26.19,23.63,181.5628,6.2,104.0,Neutral,,
2020-02-01,Clove,Matale,961.25,946.73,1,3.85,4.45,4.85,0.0,467.0,12088.0,26.19,23.63,181.5628,6.2,104.0,Neutral,,
2020-02-01,Stem,Matale,82.75,82.72,1,3.85,4.45,4.85,0.0,467.0,12088.0,26.19,23.63,181.5628,6.2,104.0,Neutral,,
2020-02-01,Clove,Matara,966.75,946.73,1,3.85,4.45,4.85,0.0,467.0,12088.0,26.19,23.63,181.5628,6.2,104.0,Neutral,,
2020-02-01,Stem,Matara,82.0,82.72,1,3.85,4.45,4.85,0.0,467.0,12088.0,26.19,23.63,181.5628,6.2,104.0,Neutral,,
2020-02-01,Clove,Monaragala,935.25,946.73,1,3.85,4.45,4.85,0.0,467.0,12088.0,26.19,23.63,181.5628,6.2,104.0,Neutral,,
2020-02-01,Clove,Nuwaraeliya,938.75,946.73,1,3.85,4.45,4.85,0.0,467.0,12088.0,26.19,23.63,181.5628,6.2,104.0,Neutral,,
2020-02-01,Stem,Nuwaraeliya,96.0,82.72,1,3.85,4.45,4.85,0.0,467.0,12088.0,26.19,23.63,181.5628,6.2,104.0,Neutral,,
2020-02-01,Clove,Ratnapura,884.5,946.73,1,3.85,4.45,4.85,0.0,467.0,12088.0,26.19,23.63,181.5628,6.2,104.0,Neutral,,
2020-03-01,Clove,Badulla,881.0,898.65,0,3.8,4.4,4.8,0.0,727.0,12289.0,27.61,21.74,185.0567,5.4,104.0,Neutral,,
2020-03-01,Clove,Colombo,950.0,898.65,0,3.8,4.4,4.8,0.0,727.0,12289.0,27.61,21.74,185.0567,5.4,104.0,Neutral,,
2020-03-01,Clove,Galle,887.5,898.65,0,3.8,4.4,4.8,0.0,727.0,12289.0,27.61,21.74,185.0567,5.4,104.0,Neutral,,
2020-03-01,Clove,Gampaha,940.0,898.65,0,3.8,4.4,4.8,0.0,727.0,12289.0,27.61,21.74,185.0567,5.4,104.0,Neutral,,
2020-03-01,Stem,Gampaha,68.5,82.27,0,3.8,4.4,4.8,0.0,727.0,12289.0,27.61,21.74,185.0567,5.4,104.0,Neutral,,
2020-03-01,Clove,Hambantota,900.0,898.65,0,3.8,4.4,4.8,0.0,727.0,12289.0,27.61,21.74,185.0567,5.4,104.0,Neutral,,
2020-03-01,Clove,Kalutara,967.0,898.65,0,3.8,4.4,4.8,0.0,727.0,12289.0,27.61,21.74,185.0567,5.4,104.0,Neutral,,
2020-03-01,Clove,Kandy,882.0,898.65,0,3.8,4.4,4.8,0.0,727.0,12289.0,27.61,21.74,185.0567,5.4,104.0,Neutral,,
2020-03-01,Stem,Kandy,97.5,82.27,0,3.8,4.4,4.8,0.0,727.0,12289.0,27.61,21.74,185.0567,5.4,104.0,Neutral,,
