Date,Grade,Region,Regional_Price,Seasonal_Impact,Temperature,Rainfall,Exchange_Rate,Inflation_Rate,Fuel_Price,Vietnam_FOB_USD,Vietnam_Harvest_Flag,Urea_Price_USD,India_Domestic_Price,National_Price,Is_Active_Region
2020-01-01,gr1,badulla,609.0,1,25.160225,110.8,181.4036,5.7,104,4188.293152152541,0,314.2348959927328,540.4741909221397,581.81,1
2020-02-01,gr1,badulla,563.75,1,25.33631,142.9,181.5628,6.2,104,4172.780863773741,1,303.8643860212326,498.821848258868,533.38,1
2020-03-01,gr1,badulla,545.5,1,28.02474,37.7,185.0567,5.4,104,4184.944815220536,1,340.13387247526623,529.2657706023622,531.11,1
2020-04-01,gr1,badulla,508.5,0,28.456999,127.4,193.0854,5.2,104,4144.683251299699,1,325.5623000940066,532.5905916844362,512.35,1
2020-05-01,gr1,badulla,526.25,0,28.86829,142.40001,187.865,4.0,104,4217.855628575588,0,323.074066978091,529.5888303617213,515.98,1
2020-06-01,gr1,badulla,492.0,1,30.223665,62.1,185.9545,3.9,104,4129.231462897479,0,320.21271576736063,512.8074065509508,498.81,1
2020-07-01,gr1,badulla,489.75,1,29.095709,156.8,185.8487,4.2,104,4237.596651634339,0,308.0411693796482,527.3746629463504,495.04,1
2020-08-01,gr1,badulla,540.8,1,30.424742,67.7,184.8939,4.1,104,4240.675860868483,0,302.39191188019225,558.0827317914601,546.41,1
2020-09-01,gr1,badulla,566.25,0,28.428667,158.2,185.0317,4.0,104,4223.69164604559,0,326.96387447456715,509.73607270973207,577.39,1
2020-10-01,gr1,badulla,554.0,0,30.30861,35.8,184.4379,4.0,104,4200.650094593895,0,330.8874861970419,519.378821342582,562.98,1
2020-11-01,gr1,badulla,554.5,1,26.043667,298.3,184.4379,4.1,104,4219.265868986442,0,313.9778793963822,524.3079301091258,551.98,1
2020-12-01,gr1,badulla,558.0,1,25.019903,584.6,187.1822,4.2,104,4184.236537767983,0,328.8404539636105,505.3808744856905,543.59,1
2021-01-01,gr1,badulla,551.25,1,24.389257,467.5,190.4918,3.0,104,4167.419982619709,0,309.84178181021605,510.8892094795226,522.04,1
2021-02-01,gr1,badulla,549.5,1,25.121286,121.299995,194.0665,3.3,104,4306.107809850631,1,333.7487641914818,544.1198903309363,511.54,1
2021-03-01,gr1,badulla,628.6,1,26.466677,169.50002,196.9825,4.1,104,4128.206892441028,1,321.1327041053776,525.4011471678284,608.51,1
2021-04-01,gr1,badulla,711.6666666666666,0,27.782,231.40001,197.423,3.9,104,4189.593887482136,1,309.32467085745725,497.3959255065215,684.43,1
2021-05-01,gr1,badulla,687.6666666666666,0,28.06829,188.9,199.5847,4.5,111,4189.890367378305,0,309.9345743472036,489.0539202212327,671.86,1
2021-06-01,gr1,badulla,761.0,1,28.493666,163.0,199.8161,5.2,111,4231.205990852608,0,335.2131605192245,523.8084777985011,751.81,1
2021-07-01,gr1,badulla,751.75,1,28.653772,106.2,199.9778,5.7,111,4129.626811281172,0,309.99668675394423,479.00117442845044,749.55,1
2021-08-01,gr1,badulla,754.3333333333334,1,28.531193,193.4,200.4965,6.0,111,4211.204624090521,0,319.0946671769584,489.71059381638463,732.83,1
2021-09-01,gr1,badulla,804.2916666666667,0,28.723665,186.2,201.9858,5.7,111,4207.519689323811,0,327.9994190194205,497.65627076586,785.26,1
2021-10-01,gr1,badulla,854.25,0,27.713451,261.7,201.0899,7.6,111,4177.496726426038,0,301.69367103143543,552.9896178864784,837.68,1
2021-11-01,gr1,badulla,1009.6,1,25.883665,365.19998,201.8582,9.9,111,4248.578547547718,0,313.77350638265546,507.7566616569036,998.1,1
2021-12-01,gr1,badulla,1139.5,1,24.919903,185.2,201.399,12.1,121,4096.627894998006,0,321.1502607914742,536.9354155043299,1117.54,1
2022-01-01,gr1,badulla,1165.5,1,24.674742,148.90001,201.4647,14.2,121,4201.7631775985865,0,315.1693894831656,526.2636894772996,1142.21,1
2022-02-01,gr1,badulla,1174.0,1,25.180212,112.100006,201.7362,15.1,176,4193.604120425962,1,320.1884962294485,539.5062491695596,1160.14,1
2022-03-01,gr1,badulla,1481.75,1,27.208612,65.0,255.8081,18.7,176,4130.860013451783,1,329.6945720052674,482.33699583882833,1460.57,1
2022-04-01,gr1,badulla,1742.3333333333333,0,27.380333,250.8,319.4404,29.8,289,4204.966615271462,1,331.2670513682758,486.8675358464445,1744.73,1
2022-05-01,gr1,badulla,1848.75,0,28.992483,143.0,358.939,39.1,289,4180.772222788509,0,311.9039648007835,523.7895964244216,1845.21,1
