Month,Grade,Region,Regional_Price,National_Price,Seasonal_Impact,Indonesia_Price_in_USD,Madagascar_Price_in_USD,Tanzania_Price_in_USD,Local_Production_Volume,Local_Export_Volume,Global_Production_Volume,Temperature,Rainfall,Exchange_Rate,Inflation_Rate,Fuel_Price
1/1/2020,Clove,Kandy,1019.25,942.22,1,3.9,4.5,4.9,2013.2,156,10724,25.96,45.68,181.4036,5.7,104
1/1/2020,Clove,Matale,1008.25,942.22,1,3.9,4.5,4.9,2013.2,156,10724,25.96,45.68,181.4036,5.7,104
1/1/2020,Clove,Nuwaraeliya,949.50,942.22,1,3.9,4.5,4.9,2013.2,156,10724,25.96,45.68,181.4036,5.7,104
1/1/2020,Clove,Kegalle,1020.50,942.22,1,3.9,4.5,4.9,2013.2,156,10724,25.96,45.68,181.4036,5.7,104
1/1/2020,Clove,Ratnapura,903.00,942.22,1,3.9,4.5,4.9,2013.2,156,10724,25.96,45.68,181.4036,5.7,104
1/1/2020,Clove,Badulla,858.00,942.22,1,3.9,4.5,4.9,2013.2,156,10724,25.96,45.68,181.4036,5.7,104
1/1/2020,Clove,Kurunegala,936.75,942.22,1,3.9,4.5,4.9,2013.2,156,10724,25.96,45.68,181.4036,5.7,104
1/1/2020,Clove,Colombo,954.33,942.22,1,3.9,4.5,4.9,2013.2,156,10724,25.96,45.68,181.4036,5.7,104
1/1/2020,Clove,Gampaha,935.00,942.22,1,3.9,4.5,4.9,2013.2,156,10724,25.96,45.68,181.4036,5.7,104
1/1/2020,Clove,Kalutara,927.75,942.22,1,3.9,4.5,4.9,2013.2,156,10724,25.96,45.68,181.4036,5.7,104
1/1/2020,Clove,Galle,893.75,942.22,1,3.9,4.5,4.9,2013.2,156,10724,25.96,45.68,181.4036,5.7,104
1/1/2020,Clove,Matara,964.25,942.22,1,3.9,4.5,4.9,2013.2,156,10724,25.96,45.68,181.4036,5.7,104
1/1/2020,Clove,Hambantota,945.50,942.22,1,3.9,4.5,4.9,2013.2,156,10724,25.96,45.68,181.4036,5.7,104
1/1/2020,Clove,Monaragala,877.00,942.22,1,3.9,4.5,4.9,2013.2,156,10724,25.96,45.68,181.4036,5.7,104
1/1/2020,Stem,Kandy,93.00,82.35,1,3.9,4.5,4.9,2013.2,156,10724,25.96,45.68,181.4036,5.7,104
1/1/2020,Stem,Matale,94.50,82.35,1,3.9,4.5,4.9,2013.2,156,10724,25.96,45.68,181.4036,5.7,104
1/1/2020,Stem,Nuwaraeliya,79.33,82.35,1,3.9,4.5,4.9,2013.2,156,10724,25.96,45.68,181.4036,5.7,104
1/1/2020,Stem,Kegalle,89.00,82.35,1,3.9,4.5,4.9,2013.2,156,10724,25.96,45.68,181.4036,5.7,104
1/1/2020,Stem,Kurunegala,69.50,82.35,1,3.9,4.5,4.9,2013.2,156,10724,25.96,45.68,181.4036,5.7,104
1/1/2020,Stem,Gampaha,70.75,82.35,1,3.9,4.5,4.9,2013.2,156,10724,25.96,45.68,181.4036,5.7,104
1/1/2020,Stem,Matara,80.00,82.35,1,3.9,4.5,4.9,2013.2,156,10724,25.96,45.68,181.4036,5.7,104
2/1/2020,Clove,Kandy,972.50,946.73,1,3.85,4.45,4.85,0,467,12088,26.19,23.63,181.5628,6.2,104
2/1/2020,Clove,Matale,961.25,946.73,1,3.85,4.45,4.85,0,467,12088,26.19,23.63,181.5628,6.2,104
2/1/2020,Clove,Nuwaraeliya,938.75,946.73,1,3.85,4.45,4.85,0,467,12088,26.19,23.63,181.5628,6.2,104
2/1/2020,Clove,Kegalle,916.25,946.73,1,3.85,4.45,4.85,0,467,12088,26.19,23.63,181.5628,6.2,104
2/1/2020,Clove,Ratnapura,884.50,946.73,1,3.85,4.45,4.85,0,467,12088,26.19,23.63,181.5628,6.2,104
2/1/2020,Clove,Badulla,907.00,946.73,1,3.85,4.45,4.85,0,467,12088,26.19,23.63,181.5628,6.2,104
2/1/2020,Clove,Kurunegala,912.50,946.73,1,3.85,4.45,4.85,0,467,12088,26.19,23.63,181.5628,6.2,104
2/1/2020,Clove,Colombo,962.50,946.73,1,3.85,4.45,4.85,0,467,12088,26.19,23.63,181.5628,6.2,104
2/1/2020,Clove,Gampaha,962.50,946.73,1,3.85,4.45,4.85,0,467,12088,26.19,23.63,181.5628,6.2,104
2/1/2020,Clove,Kalutara,931.75,946.73,1,3.85,4.45,4.85,0,467,12088,26.19,23.63,181.5628,6.2,104
2/1/2020,Clove,Galle,987.50,946.73,1,3.85,4.45,4.85,0,467,12088,26.19,23.63,181.5628,6.2,104
2/1/2020,Clove,Matara,966.75,946.73,1,3.85,4.45,4.85,0,467,12088,26.19,23.63,181.5628,6.2,104
2/1/2020,Clove,Hambantota,1015.25,946.73,1,3.85,4.45,4.85,0,467,12088,26.19,23.63,181.5628,6.2,104
